ice_type,incidence_bin,incidence_angle_deg,n_observation_pixels,subset,channels,coarse_rms_mismatch_db,refined_rms_mismatch_db,improvement_db,status,best_roughness_rms_m,best_salinity_ppt,best_ice_thickness_m,roughness_at_bound,salinity_at_bound,thickness_at_bound,refinement_selected,optimizer_success,optimizer_message,optimizer_nfev,obs_L_HH_db,fit_L_HH_db,residual_L_HH_db,obs_L_VV_db,fit_L_VV_db,residual_L_VV_db,obs_S_HH_db,fit_S_HH_db,residual_S_HH_db,obs_S_VV_db,fit_S_VV_db,residual_S_VV_db
NI,39-42,39.62129279576815,10400,L_plus_S,"L_HH,L_VV,S_HH,S_VV",6.724616127164508,6.724616127164508,0.0,clearly outside,0.0011814852045849,4.125,1.1666666666666667,False,False,False,False,False,coarse-grid fallback,0,-30.442056055473326,-37.642624137322265,-7.200568081848939,-28.32719954222011,-35.90366631990176,-7.576466777681649,-22.97048743373999,-28.583441601853167,-5.612954168113177,-20.603854936438243,-26.93832920056541,-6.3344742641271665
TI,30-33,32.186416427941786,7734,L_only,"L_HH,L_VV",7.153497505862126,7.153497505862126,0.0,clearly outside,0.0011814852045849,4.125,0.2,False,False,True,False,False,coarse-grid fallback,0,-28.88667242389221,-35.94309712556284,-7.0564247016706325,-27.748155139925355,-34.997425693739984,-7.249270553814629,-19.44826049728911,-27.19541265872284,-7.747152161433732,-19.990331602870267,-26.16278204870404,-6.172450445833775
TI,30-33,32.186416427941786,7734,S_only,"S_HH,S_VV",6.497364246855556,6.497364246855556,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-28.88667242389221,-36.15088007391599,-7.264207650023781,-27.748155139925355,-35.01349978104371,-7.265344641118357,-19.44826049728911,-26.74308889747532,-7.294828400186212,-19.990331602870267,-25.577545839363296,-5.587214236493029
TI,30-33,32.186416427941786,7734,L_plus_S,"L_HH,L_VV,S_HH,S_VV",6.872665534587721,6.872665534587721,0.0,clearly outside,0.0011814852045849,4.125,1.1666666666666667,False,False,False,False,False,coarse-grid fallback,0,-28.88667242389221,-36.12093405127658,-7.234261627384367,-27.748155139925355,-34.897033665826605,-7.1488785259012495,-19.44826049728911,-26.824062846467005,-7.375802349177896,-19.990331602870267,-25.566231569293947,-5.57589996642368
TI,33-36,35.16708695390763,8981,L_only,"L_HH,L_VV",10.333382015691326,10.333382015691326,0.0,clearly outside,0.0011814852045849,4.125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-26.78102628616057,-36.7638886667398,-9.982862380579231,-24.51886185997006,-35.19125739493979,-10.67239553496973,-21.151765764021068,-27.762601118657308,-6.61083535463624,-19.11958503474232,-26.170142750501977,-7.0505577157596555
TI,33-36,35.16708695390763,8981,S_only,"S_HH,S_VV",6.68664145132065,6.68664145132065,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-26.78102628616057,-36.74522421610288,-9.964197929942312,-24.51886185997006,-35.415931268435045,-10.897069408464986,-21.151765764021068,-27.46602217022329,-6.314256406202222,-19.11958503474232,-26.158939680856783,-7.039354646114461
TI,33-36,35.16708695390763,8981,L_plus_S,"L_HH,L_VV,S_HH,S_VV",8.729078052452811,8.729078052452811,0.0,clearly outside,0.0011814852045849,4.125,1.1666666666666667,False,False,False,False,False,coarse-grid fallback,0,-26.78102628616057,-36.71506158272037,-9.934035296559795,-24.51886185997006,-35.29067288293984,-10.771811022969779,-21.151765764021068,-27.54286615386287,-6.391100389841803,-19.11958503474232,-26.135572520645383,-7.015987485903061
TI,36-39,36.86496770742158,12873,L_only,"L_HH,L_VV",9.508755681794268,9.508755681794268,0.0,clearly outside,0.0011814852045849,4.125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-28.945061043540864,-37.12785450112215,-8.182793457581287,-24.743898753141004,-35.41511051482367,-10.671211761682663,-20.121277013718046,-28.21744564703619,-8.096168633318143,-18.43742411704319,-26.5033299587028,-8.06590584165961
TI,36-39,36.86496770742158,12873,S_only,"S_HH,S_VV",7.883719776176773,7.883719776176773,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-28.945061043540864,-37.08639095270788,-8.141329909167016,-24.743898753141004,-35.64741132639278,-10.903512573251774,-20.121277013718046,-27.85592796424656,-7.734650950528515,-18.43742411704319,-26.467445891113908,-8.030021774070718
TI,36-39,36.86496770742158,12873,L_plus_S,"L_HH,L_VV,S_HH,S_VV",8.79080378450706,8.79080378450706,0.0,clearly outside,0.0011814852045849,4.125,1.1666666666666667,False,False,False,False,False,coarse-grid fallback,0,-28.945061043540864,-37.085875570194105,-8.14081452665324,-24.743898753141004,-35.53128311627219,-10.787384363131189,-20.121277013718046,-27.98444440913271,-7.8631673954146635,-18.43742411704319,-26.477511222740908,-8.040087105697719
TI,39-42,40.786001936704295,18845,L_only,"L_HH,L_VV",7.830001334583103,7.830001334583103,0.0,clearly outside,0.0011814852045849,4.125,3.1,False,False,False,False,False,coarse-grid fallback,0,-30.76670466666361,-38.00452684749489,-7.237822180831277,-27.48759799376348,-35.868037831732195,-8.380439837968716,-22.301190401748958,-29.2478831295955,-6.946692727846543,-19.498978273276965,-27.18991995896032,-7.690941685683356
TI,39-42,40.786001936704295,18845,S_only,"S_HH,S_VV",7.071137338120767,7.071137338120767,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-30.76670466666361,-37.90350444988575,-7.136799783222141,-27.48759799376348,-36.20051275299048,-8.712914759226997,-22.301190401748958,-28.73772280547339,-6.436532403724431,-19.498978273276965,-27.15227933392633,-7.653301060649365
TI,39-42,40.786001936704295,18845,L_plus_S,"L_HH,L_VV,S_HH,S_VV",7.5205375848507545,7.5205375848507545,0.0,clearly outside,0.0011814852045849,4.125,1.1666666666666667,False,False,False,False,False,coarse-grid fallback,0,-30.76670466666361,-37.901917172437045,-7.135212505773435,-27.48759799376348,-36.0730525065878,-8.58545451282432,-22.301190401748958,-28.86415364901467,-6.562963247265714,-19.498978273276965,-27.150133021504818,-7.651154748227853
TI,42-45,43.10014116954044,16064,L_only,"L_HH,L_VV",8.183666283027913,8.183666283027913,0.0,clearly outside,0.0011814852045849,4.125,3.1,False,False,False,False,False,coarse-grid fallback,0,-30.9844748841714,-38.55821649510553,-7.573741610934132,-27.44379977766735,-36.19498402179915,-8.7511842441318,-23.45467898321994,-29.86438707736489,-6.40970809414495,-18.588939439515947,-27.611638948903703,-9.022699509387756
TI,42-45,43.10014116954044,16064,S_only,"S_HH,S_VV",7.5707002425038885,7.5707002425038885,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-30.9844748841714,-38.42198386028743,-7.437508976116032,-27.44379977766735,-36.54921928236881,-9.105419504701459,-23.45467898321994,-29.28625718990292,-5.83157820668298,-18.588939439515947,-27.568009544100107,-8.97907010458416
TI,42-45,43.10014116954044,16064,L_plus_S,"L_HH,L_VV,S_HH,S_VV",7.934656999134435,7.934656999134435,0.0,clearly outside,0.0011814852045849,2.3125,3.1,False,False,False,False,False,coarse-grid fallback,0,-30.9844748841714,-38.40841019448986,-7.423935310318459,-27.44379977766735,-36.42641000990127,-8.982610232233917,-23.45467898321994,-29.44855690078869,-5.993877917568753,-18.588939439515947,-27.53916023058626,-8.950220791070311
TI,45-48,45.05498933318293,1107,L_only,"L_HH,L_VV",6.426692226035799,6.426692226035799,0.0,clearly outside,0.0011814852045849,2.3125,5.033333333333333,False,False,False,False,False,coarse-grid fallback,0,-32.16649482923016,-38.88845289938823,-6.721958070158067,-30.46244525799553,-36.57963625055206,-6.117190992556534,-23.670474963945765,-30.141472710500047,-6.470997746554282,-21.094651303196528,-27.898818853329004,-6.804167550132476
TI,45-48,45.05498933318293,1107,S_only,"S_HH,S_VV",6.44850545404863,6.44850545404863,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-32.16649482923016,-38.857985011993534,-6.691490182763374,-30.46244525799553,-36.84788888634923,-6.385443628353702,-23.670474963945765,-29.73588994230035,-6.065414978354585,-21.094651303196528,-27.904731062064386,-6.810079758867857
TI,45-48,45.05498933318293,1107,L_plus_S,"L_HH,L_VV,S_HH,S_VV",6.490518920507104,6.490518920507104,0.0,clearly outside,0.0011814852045849,2.3125,3.1,False,False,False,False,False,coarse-grid fallback,0,-32.16649482923016,-38.84550879997288,-6.679013970742723,-30.46244525799553,-36.71827976518895,-6.255834507193423,-23.670474963945765,-29.90559547745792,-6.235120513512154,-21.094651303196528,-27.868566168992693,-6.773914865796165
